id, name, birth_loc, pocc, marriage, lastname
5006,Hall William,,,,William
5007,Hall William,,,,William
5009,Hallett John,,,,John
5012,Hallewell John,,,,John
5015,Halliburton James,Dundee,merchant,,James
5023,Hambley William,,,,William
5025,Hambley William,,,,William
5028,Hamilton Alexander,,,,Alexander
5031,Hamilton Archibald,Coylton Ayrshire,,,Archibald
5035,Hamilton James,,,,James
5041,Hamilton John,Coilsfield Ayrshire,,,John
5044,Hamilton Montgomerie,Scotland,,,Montgomerie
5054,Hamilton William,London,merchant,,William
5055,Hamilton William,London,merchant,,William
5059,Hammett William,,,,William
5064,Hammond Henry,,,,Henry
5079,Hancock Nathaniel,,,,Nathaniel
5087,Handslap or Hanslapp Robert,,,,or
5099,Hannay Andrew,Wigton Ayrshire,,,Andrew
5111,Hardcastle William,England,,,William
5116,Harding John,,,,John
5118,Harding Richard,,,,Richard
5122,Hardwick Peter,,,,Peter
5132,Hardyman William Henry,Basingstoke Hants,esq,,William
5144,Harman Thomas,,,,Thomas
5157,Harriman Edward,Workington Cumberland,,,Edward
5164,Harrington or Harington Thomas Talbot,pa St Edmund's New Sarum Wilts,,,or
5166,Harris Christopher,,,,Christopher
5168,Harris Francis,,,,Francis
5171,Harris Henry,Monkleigh Devon 2nd,esq,m 23 May 1833 Longwood House= St Helena= Henrietta Montgomerie,Henry
5184,Harris Thomas Herbert,Sturminster Marshall Dorset,,,Thomas
5188,Harris William Harrison,London,,,William
5195,Harrison Edward,Bermondsey Surrey,curate,,Edward
5225,Harrower George,,,,George
5226,Harry Benjamin,,,,Benjamin
5228,Harry Thomas,,,,Thomas
5275,Hassell John,,,,John
5276,Hassey John,,,,John
5279,Hatch John,,,,John
5287,Havard Thomas,St Martin's Haverfordwest,,m 19 May 1804 St Peter's Cornhill= London= Ann Halwick= widow Dorothy b 8 May 1808,Thomas
5290,Haviside or Heaviside Thomas,Stokesley Yorks,,,or
5291,Haviside or Heaviside William,Stokesley Yorks,gent,,or
5295,Hawes Stephen,Lowestoft Suffolk,,,Stephen
5302,Hawkey William,Liskeard Cornwall,,m Mananne Score,William
5309,Hawkins Giles,,,,Giles
5312,Hawkins William,,,,William
5325,Hay James,,,,James
5327,James Hay,,,,
5332,Hay Robert,Hopps East Lothian,,,Robert
5333,Hay William,St Nicholas Garwald East Lothian,,,William
5338,Hayes John,,,,John
5341,Hayes Thomas,,,,Thomas
5352,Haynes William,,,,William
5357,Hayter George,,,,George
5365,Hayward John,England,,m 1 Jul 1828 St George's= Camberwell= Surrey= Ann Goodson,John
5372,Head James,,,,James
5385,Heath John,,,,John
5389,Heath William,,,,William
5398,Heathorn Joseph L,,,,Joseph
5400,Heathorn William,,,,William
5408,Hedley Thomas,,,,Thomas
5416,Heming George,Caldecote Hall Warwicks,,,George
5426,Henderson George,,,,George
5446,Henning Alexander,,,,Alexander
5455,Hepworth Brodie,,,m 20 May 1783 St Martin_in_the_Fields= London= Ann Fortescue (she re_m 13 Dec 1800 St Clement Danes= London= John Taylor= Esq= widwr= who d 1832),Brodie
5463,Herbert Philip,England,,,Philip
5465,Hereford John,,,,John
5502,Hicks John,,,,John
5508,Hicks Zachary,,,,Zachary
5526,Hill Charles,,,,Charles
5531,Hill John,,,,John
5548,Hillman John,,,,John
5553,Hilton John Woodbridge,Allhallows Barking London,,,John
5559,Hinde Thomas,,,,Thomas
5563,Hindman Josiah,,,,Josiah
5564,Hindman Thomas,,,,Thomas
5565,Hindman Thomas,,,,Thomas
5566,Hine John,England,,,John
5575,Hippon Anthony,,,,Anthony
5584,Hitchings John,,,,John
5589,Hoadley Henry,,,,Henry
5591,Hoare Daniel Griffiths,,,,Daniel
5628,Hodgson Thomas,,,,Thomas
5629,Hodgson Thomas,,,,Thomas
5647,Hogg Robert,,,,Robert
5658,Holden Richard,,,,Richard
5660,Holden Thomas,,,,Thomas
5666,Holford Arthur,,,,Arthur
5669,Holiday George,,,,George
5690,Holman Francis,,,,Francis
5693,Holman William,,,,William
5701,Holmes Robert,St Matthew Friday St London,,,Robert
5731,Hooke Benjamin,,,,Benjamin
5732,Hooke Walter,,,,Walter
5733,Hooper Charles,,,,Charles
5735,Hooper George,England,,,George
5742,Hope William,Musselburgh Midlothian,,,William
5753,Hore Matthew,,,,Matthew
5760,Hornblow William,Braintree Essex,,,William
5763,Horncastle James,England,,,James
5773,Horsburgh James,,,,James
5792,Hosmer Henry,Mereworth Kent,,m 8 Jan 1819 West Peckham= Kent= Sarah Buttanshaw= Arthur Henry bap 10 Nov 1822= Alexandria Morison bap 16 Aug 1833= d 4 Dec 1848,Henry
5797,Hough Samuel,,,,Samuel
5800,Houghton John,,,,John
5803,Hoimsell Richard,,,,Richard
5804,Hounsell Thomas,,,,Thomas
5826,Howe Thomas,,,,Thomas
5830,Howes Christopher,,,,Christopher
5836,Hoxton Walter,,,,Walter
5841,Huddart Joseph,,,,Joseph
5842,Huddart William,England,,,William
5846,Hudson Charles,,,,Charles
5847,Hudson Sir Charles,,,,Sir
5850,Hudson Henry,,,,Henry
5853,Hudson John,,,,John
5854,Hudson Robert,Sunning Berks,,,Robert
5855,Hudson Robert,Sunning Berks,,,Robert
5856,Hudson Robert,Sunning Berks,,,Robert
5859,Hudson Thomas,,,,Thomas
5875,Hughes Henry,Wexford,gent,,Henry
5878,Hughes Philip,St Lawrence Exeter,Capt,,Philip
5881,Hughes Robert,,,,Robert
5895,Hume Alexander,,,,Alexander
5911,Hunt James,St Mary's Dover Kent,,,James
5916,Hunt Richard,,,,Richard
5917,Hunt Thomas,,,,Thomas
5923,Hunt William,,,,William
5929,Hunter Henry,,,,Henry
5933,Hunter John,England,,,John
5944,Hunter William,,,,William
5951,Hurdis James,,,,James
5952,Hurle John,,,,John
5958,Hurst Robert,,,,Robert
5973,Hutchinson George,,,,George
5974,Hutchinson Henry,Holy Trinity Hull,banker,,Henry
5979,Hutchinson Norton,,,,Norton
5984,Hutchinson William,,,,William
5985,Hutchinson William,,,,William
5986,Hutt Richard,,,,Richard
5994,Hutton William Charles,Macao,,,William
5998,Hyde Jonathan,,,,Jonathan
5999,hyde jonathan,,,,
6001,Hyde Robert,,,,Robert
6002,Hyde Samuel,Louth Lines,,,Samuel
6012,Ibister David,,,,David
6025,Inglis Cornelius,,,,Cornelius
6038,Innes John,Queensferry Linlithgow,,m 20 May 1799 Sandwich= Kent= Elizabeth Wells,John
6055,Irvine _?_,,,,_?_
6074,Isacke Matthew,St Helena,,,Matthew
6075,Isacke Robert Matthew,Greenwich,,m 15 Sep 1829 Birkhill= Fife= Matilda Scrimegour dau of Henry Scrimegour Wedderburn Esq Mary Harriet bap 30 Apr 1832 Matthew Henry George b 5 Sep 1834,Robert
6089,Jackson Abraham,,,,Abraham
6095,Jackson George,,,,George
6101,Jackson J H,,,,J
6102,Jackson James,Houghton_le_Spring co Durham,,,James
6103,Jackson Jeffery,,,,Jeffery
6106,Jackson Joseph,,,,Joseph
6125,Jago Samuel,,,,Samuel
6148,James Walter,,,,Walter
6153,Jameson or Jamieson Alexander,,,,or
6156,Jameson James,,,,James
6183,Jeffreys J P,,,,J
6189,Jenkins Benjamin,,,,Benjamin
6193,Jenkins Robert,,,,Robert
6195,Jenkins Thomas,Llangoedmore Cardigan,,,Thomas
6201,Jenifer James,,,,
6208,Jesson Randle,,,,Randle
6218,Jobson William,,,,William
6221,Jodrell Philip,,,,Philip
6231,Johnson Edward,,,,Edward
6234,Johnson Francis,,,,Francis
6237,Johnson James,,,,James
6239,Johnson John,,,,John
6241,Johnson James,,,,James
6242,Johnson John,,,,John
6250,Johnson Magnus,,,,Magnus
6254,Johnson Robert,Stockton_on_Tees,Lecturer,,Robert
6257,Johnson or Johnston Thomas,,,,or
6260,Johnson Thomas Alexander,,,,Thomas
6285,Johnstone Charles Kinnaird,Alva Clackmannan,,,Charles
6297,Jones Benjamin,,,,Benjamin
6298,Jones Charles,St Margaret's Lothbury London,,,Charles
6318,Jones John,Swansea,,,John
6343,Jones Thomas,,,,Thomas
6360,Jordan Michael,,,,Michael
6384,Kay Brook,Montreal Canada,,,Brook
6385,Kay James,,,,James
6388,Keate Samuel,,,,Samuel
6390,Keble Page,,,,Page
6397,Keeling William,,,,William
6413,Kellaway James,Winterborne Dorset,,,James
6421,Kelso George,,,,George
6432,Kemeys or Kemys Reginald,,,,or
6440,Kempt Francis,Leith Midlothian,,,Francis
6442,Kempt Rodney,,,,Rodney
6443,Kempthorne John,,,,John
6445,Kendall Harry,Ulverston Lanes,,,Harry
6465,Kent George,,,,George
6466,Kent Henry,,,,Henry
6483,Kerr Robert,,,,Robert
6490,Kesar Charles,,,,Charles
6499,Keymer Christopher,England,,,Christopher
6503,Kidd Thomas,,,,Thomas
6522,Overt Roger,,,,Roger
6572,Kirby Richard,,,,Richard
6583,Kirkpatrick John,Scotland,,,John
6588,Kirwan Stephen,,,,Stephen
6621,Knox Robert,,,,Robert
6623,Knox William,Teddington Middx,,,William
6644,Ladd William Henry,St Mary the Virgin Dover,,,William
6656,Lake Samuel,,,,Samuel
6659,Lamb Edwin,,,,Edwin
6664,Lamb James Thomas,,,,James
6665,Lamb or Lambe John,Dilwyn Herefords,,,or
6680,Lambert Thomas,,,,Thomas
6681,Lambert William,,,,William
6685,Lancaster Sir James,Basingstoke Hants,,,Sir
6694,Landon Samuel,Edmonton Middx,,,Samuel
6697,Lane John,,,,John
6727,Langworth Thomas,,,,Thomas
6740,Larkins John Pascal,England,,,John
6741,Larkins Thomas,,,,Thomas
6742,Larkins Thomas,,,,Thomas
6743,Larkins Thomas,,,,Thomas
6744,Larkins William,,,,William
6747,Lascelles Henry,,,,Henry
6750,Lascelles Peter,,,,Peter
6752,Lasinby Richard,,,,Richard
6758,Lauder John,,,,John
6764,Laurie or Lawrie Henry,,,,or
6775,Lawrence or Laurence Ambrose,,,,or
6779,Lawrence John,,,,John
6785,Lawson John,Biggar Lanarks,,,John
6788,Lawson Patrick,,,,Patrick
6797,Lay William,Berwick Sussex,,,William
6798,Laycock Richard,,,,Richard
6799,Layman William,,,,William
6804,Leader James,,,,James
6818,LeBlanc Charles Henry,,,,
6825,Ledger Edward,England,,,Edward
6837,Lee James,,,,James
6844,Lee Simon,Southwark London,,,Simon
6852,Leech Thomas Watson,St Helena,,,Thomas
6860,Le Geyt Carteret,,,,Geyt
6866,Le Huquet Philip,,,,Huquet
6872,Leigh Henry,,,,Henry
6879,Leith John,,,,John
6883,Le Mesurier Frederick,,,,Mesurier
6887,Lennox Charles,England,,,Charles
6888,Lennox Charles,England,,,Charles
6890,Lennox John,Inch Wigton,farmer,,John
6892,Lensley John,,,,John
6913,Levy John,Broad St Bldgs St Mary Woolnoth London,merchant,,John
6914,Lewin Gregory Moffat,Eltham Kent,,,Gregory
6915,Lewin Richard,,,,Richard
6916,Lewin Richard,,,,Richard
6929,Lewis John,Whales,,,John
6930,Lewis Josiah,,,,Josiah
6932,Lewis Samuel,,,,Samuel
6934,Lewis Thomas,,,,Thomas
6941,Ley Thomas,England,,,Thomas
6946,Liddell Henry,,,,Henry
6961,Limbrey William,,,,William
6965,Lindegren Charles,,,,Charles
6971,Lindsay Alexander,Kenblethmont Inverkeilor Forfar,esq,,Alexander
6976,Lindsay George,Ireland,,,George
6979,Lindsay Eon Hugh,Balcarras Fife,,,Eon
6980,Lindsay James,,,,James
6983,Lindsay Martin,Edinburgh,,,Martin
6987,Lindsay Robert,Scotland,,,Robert
6991,Lindsey Edward,,,,Edward
7035,Lloyd John,,,,John
7039,Lloyd John,,,,John
7040,Lloyd John,,,,John
7058,Loch John,Cramond Edinburgh,esq,,John
7059,Lochner John Christopher,,,,John
7067,Locke John,St Bartholomew the Great London,,,John
7069,Locke Robert,St John's Hackney Middx,,m 17 Jun 1815 Bombay= Louisa Elliot,Robert
7083,Logan John,Clackmannan,,,John
7105,Lorner John,,,,John
7113,Louth Matthew,,,,Matthew
7130,Lowe Benjamin,,,,Benjamin
7133,Lowe John,,,,John
7140,Lowis Ninian,Scotland,,,Ninian
7148,Luard John,St Bartholomew Royal Exchange London,,,John
7175,Luhorne Nicholas,,,,Nicholas
7176,Luke John,St Stephen's Exeter,,,John
7180,Lukin George,Felbrigg Norfolk,,,George
7190,Lushington Thomas,Markhal Latton pa Essex,,,Thomas
7198,Lyde Samuel,Sidmouth Devon,,,Samuel
7199,Lyell Christopher,,,,Christopher
7203,Lyell Robert,,,,Robert
7206,Lyell Thomas,,,,Thomas
7212,Lynch William,St Mary Key Ipswich,,,William
7220,Lynn Thomas,Woodbridge Suffolk,,,Thomas
7231,Lytton George,,,,George
7233,Mabbot William,,,m (1) Martha (2) Rhoda= dau of Sir John Hubard= 2nd Bart (wid of 1st Sir Thomas Delves= 4th Bart= and 2nd J Coates of Dodington= Cheshire),William
7254,McCall George,,,,George
7280,McCulloch James,Anworth Kirkcudbright,,,James
7297,McDougall Dugald,Edinburgh,,,Dugald
7303,MacFarlane CP,,,,CP
7320,McInnes George,,,,
7324,McIntosh C C,,,,
7326,McIntosh John,,,,
7364,Mackeson Thomas,Deal Kent,,,Thomas
7380,Mackintosh John,Glasgow,,,John
7383,Mackintosh John,Glasgow,,,John
7386,Mackintosh William,Scotland,,,William
7405,MacLeod Alexander,,,,Alexander
7408,McLeod Donald,Harris Inverness,,,Donald
7411,MacLeshin Peter,,,,Peter
7413,McMillan Iver,South End Kilblan Argyll,,,Iver
7422,McNab Angus,Scotland,,,Angus
7427,MacNamara John,,,,John
7428,MacNamara William,Rotherhithe London,,,William
7463,McTaggart John,,,,John
7467,McTaggart Thomas,Glenluce Galloway,,,Thomas
7475,Madan Frederick,Lichfield Cathedral,,,Frederick
7479,Maddox Leonard,,,,Leonard
7482,Madge Thomas,,,,Thomas
7497,Mainwaring Roger,,,,Roger
7504,Maitland Maitland,,,,Maitland
7517,Malim _?_,,,,_?_
7519,Malack Newman,,,,Newman
7524,Mallison John,,,,John
7527,Man Eustace,,,,Eustace
7534,Manderson John Rennie,Scotland,,m 11 Jul 1828 Prestonkirk= East Lothian= Margaret Rennie Robert b 30 Aug 1831 Prestonkirk George Rennie b 17 Feb 1834 Inveresk,John
7535,Mangles Charles Edward,St John's Hackney Middx,,m 24 Mar 1831 St Martin_in_the_Fields= London= Rose Newcome James Henry bap 25 Sep 1832 Henry Albert bap 8 Sep 1833,Charles
7543,Manley Thomas,,,,Thomas
7552,Manning Edward,St Clement Danes London,,,Edward
7556,Manning William,Inveresk Midlothian,,,William
7560,Mansell James Perchard,Guernsey,,,James
7576,Marjoribanks Campbell,Coldstream,esq,,Campbell
7577,Marjoribanks William,Scotland,,,William
7586,Marlowe Edmund,,,,Edmund
7588,Marquis Thomas,Cullen Banffshire,,m 27 Dec 1816 Berhampore= Louisa Parlby= Louisa Mary b 6 Oct & bap 3 Nov 1817 St Pancras= London Jessy b 30 May & bap 1 Jul 1820 Sheffield James b 5 Mar & bap 6 Apr 1824 St Pancras Caroline b 8 Jun & bap 8 Aug 1826 St Pancras Rose Hannah bap 30 Oct 1828 St Pancras,Thomas
7601,Marshall David,St Cuthbert's pa Edinburgh,merchant,,David
7610,Marshall John,Totnes Devon,,,John
7635,Martin Edward,,,,Edward
7639,Martin George,,,,George
7645,Martin James,Trowbridge Wilts,,,James
7646,Martin John,,,,John
7653,Martin Matthew,,,,Matthew
7665,Martin Samuel,,,,Samuel
7673,Martyr William,,,,William
7674,Mash Robert Abbon,Gt Yarmouth,,,Robert
7677,Mason Andrew Timbrell,St Dunstan's Stepney Middx,bricklayer,,Andrew
7678,Mason Benjamin,,,,Benjamin
7680,Mason Charles,,,,Charles
7684,Mason George,America,,,George
7693,Mason William,,,,William
7697,Massey Charles,,,,Charles
7699,Massey Edmund,,,,Edmund
7704,Mason James,,,,James
7729,Matthews George,,,,George
7748,Maw Robert,,,,Robert
7757,Maxwell Arthur,,,,Arthur
7769,Maxwell William,Dundee,merchant,,William
7774,May Robert,,,,Robert
7782,Mayne Charles Otway,England,,,Charles
7783,Mayne John,Holy Trinity Exeter,,,John
7793,Mead George,,,,George
7794,Mead Robert,,,,Robert
7798,Meadows Dixon,reg Dr Williams's Library London,,,Dixon
7803,Mears Charles,,,,Charles
7806,Mears William,,,,William
7834,Mercer William,,,,William
7840,Meriton Henry,St Mary's Rotherhithe Surrey,,,Henry
7854,Merry John,,,,John
7860,Mertho John,,,,John
7869,Michleborne Sir Edward,,,,Sir
7873,Michell Gilbert,,,,Gilbert
7880,Micklefield Richard,,,,Richard
7887,Middleton David,,,,David
7889,Middleton Sir Henry,,,,Sir
7890,Middleton John,,,,John
7931,Miller David,,,,David
7951,Millet John,,,,John
7952,Millett George,,,,George
7956,Millett Nicholas,,,,Nicholas
7961,Mills John,Poplar Middx,,,John
7963,Mills John,Poplar Middx,,,John
7981,Milner Roger,,,,Roger
7984,Milner William,,,,William
7999,Minors William,,,,William
8002,Minter Lawrence,,,,Lawrence
8007,Misenor John,,,,John
8010,Misenor Robert,,,,Robert
8016,Mitchell Bruce,Dunfermline Fife,,,Bruce
8017,Mitchell Sir Charles,Scotland,,,Sir
8020,Mitchell David,,,,David
8036,Mitchell Stephen,,,,Stephen
8038,Mitchell Thomas John William,St John's Wapping Middx,mariner,,Thomas
8044,Mitford Johan,,,,
8048,Moffat James,,,,James
8055,Moffat William,Rochester Kent,,,William
8057,Moffat William,Rochester Kent,,,William
8072,Moncrieff Lewis William,,,,Lewis
8074,Money John,Marcle Herefords,,,John
8076,Money William,,,m 4 Oct 1767 Martha dau of James Taylor of Carmarthen,William
8080,Monk Thomas,,,,Thomas
8082,Monro James,,,,James
8083,Monro Robert,,,,Robert
8084,Montagu William Augustus,Sheerness Kent,,m 24 Sep 1805 Penang= Catherine Brown Mulchings Augusta Catherine b 31 Dec 1810,William
8091,Montgomerie Alexander,,,,Alexander
8095,Montgomery James,,,,James
8127,Moore Samuel (John),,,,
8158,Morgan Michael,,,,Michael
8161,Morgan Robert,,,,Robert
8171,Moring James,Twyford Hants,,,James
8186,Morris Arthur,,,,Arthur
8205,Morris William,,,,William
8217,Morrison Richard,,,,Richard
8230,Mortimer Thomas,Eastbourne Sussex,,,Thomas
8234,Mortlock Charles,pa St Benet's Cambridge,banker,,Charles
8235,Mortlock James,,,,James
8238,Morton Matthew,,,,Matthew
8247,Motley Thomas,,,,Thomas
8277,Muirhead A,,,,A
8282,Mumford John,,,,John
8295,Munro Daniel Nesbitt,,,,Daniel
8321,Murray Anthony,Dollerie Perth,,,Anthony
8325,Murray James,Selkirk,tenant in Howden,,James
8338,Murray Thomas Garland,Kingston Jamaica,,,Thomas
8344,Murrell Abraham,,,,Abraham
8352,Musgrave Thomas,,,,Thomas
8353,Musgrave Thomas,,,,Thomas
8356,Muter Arthur,Torryburne Fife,,,Arthur
8358,Myers Roger,,,,Roger
8365,Nairne Alexander,Pitteneem Fife,,m 14 Apr 1824 St Giles= Camberwell= Surrey= Anne Spencer Domett James b 7 Nov & bap 31 Dec 1830 Camberwell Alexander Kyd b 15 May & bap 2 Aug 1838 Camberwell both sons entered the EIC's Civil Service,Alexander
8366,Nairne Fasham,,,,Fasham
8371,Nanfan John,,,,John
8379,Nash Alexander,Kirkcudbright Forfar,,,Alexander
8382,Nash James,,,,James
8383,Nash James,,,,James
8399,Needham Daniel,,,,Daniel
8401,Negus Jonathan,,,,Jonathan
8407,Neish James,,,,James
8408,Nelly Francis,,,,Francis
8409,Nelly Francis,,,,Francis
8420,Nesbitt or Nisbett Richard,Kirkby_over_Carr Yorks,,,or
8421,Nesbitt William,Kilmore co Cavan,,,William
8423,Nesham Thomas,,,,Thomas
8433,Newall David Rae,Scotland,,,David
8442,Newell Charles Hazelll,St Mary_at_the_Wall. Colchester,,,Charles
8444,Newham John,,,,John
8463,Newport Anthony,,,,Anthony
8464,Newport Christopher,,,,Christopher
8469,Thoma Newte,,,,
8470,Newton Charles,,,,Charles
8472,Newton George,,,,George
8480,Nichol John,,,,John
8485,Nicholls George,England,,,George
8525,Nixon Thomas,,,,Thomas
8531,Norfor Robert Wright,Gt Yarmouth Norfolk,,,Robert
8538,Normand James,,,,James
8562,Norway Neville,,,,Neville
8574,Nutt Justinian,,,,Justinian
8587,O'Brien John,,,,John
8599,Ogilvie James,,,,James
8608,O'Hara Geoffre,,,,
8625,Oliver John,Scotland,,,John
8638,Opie John,,,,John
8655,Orrok Wemyss,Methil Fifeshire,,,Wemyss
8671,Osborne James,,,,James
8676,Ostler William,,,,William
8702,Owen Richard,,,,Richard
8727,Paiba John,England,,,John
8736,Palmer E H,,,,E
8739,Palmer George,St Botolph Bishopsgate London,,,George
8744,Palmer John,,,,John
8752,Palmer Robert Fish,,,,Robert
8764,Parish J R,,,,J
8783,Parker Thomas,,,,Thomas
8786,Parker William,,,,William
8799,Parks William,,,,William
8806,Parramore Thomas,,,,Thomas
8808,Parrick Andrew,,,,Andrew
8814,Parrott Abraham,,,,Abraham
8831,Parsons John,,,,John
8834,Partington Watkin,,,,Watkin
8841,Pacall William Larkins,,,,
8850,Passmore Henry,,,,Henry
8855,Paterson Alexander,,,,Alexander
8860,Paterson or Patterson John,London,,,or
8870,Patrickson Thomas,,,,Thomas
8875,Patterson Charles,,,,Charles
8882,Patterson Robert,Carnus co Tyrone,,,Robert
8884,Patterson William,Magherafelt co Londonderry,,,William
8887,Patton Andrew,Perth,,,Andrew
8889,Pattullo Robert,Carnbee Fife,esq,,Robert
8897,Paul Nathaniel,,,m 24 Dec 1769 Mary Jeudwine,Nathaniel
8907,Payne John,,,,John
8909,Payne Samuel,,,,Samuel
8916,Peacock Eustace,,,,Eustace
8918,Peacock Tempest,,,,Tempest
8923,Pearce John,,,,John
8931,Pearce Thomas,England,,,Thomas
8935,Pearce William,,,,William
8942,Pearson James,Okenham Berks,,m 23 Jul 1807 Kingston Lisle= Berks= Alicia Ellen Martin Alice b 3 Sep 1811 James & Ellen Frances bap 20 Aug 1815,James
8946,Pearson John,,,,John
8958,Peck William,,,,William
8963,Peers William,,,,William
8967,Peirce or Pearce Richard,,,,or
8973,Pelly Henry,,,,Henry
8975,Pelly John,,,,John
8980,Pemberton William,,,,William
8985,Pendergrass James,Madley Herefords,,,James
8991,Pennell Richard,England,,,Richard
9009,Percival Lucas,All Saints' Northampton,,,Lucas
9057,Petrie John,,,,John
9067,Peyton Walter,,,,Walter
9075,Phillips George,Shepperton Middx,,,George
9087,Phillips Joseph,,,,Joseph
9099,Phinney George,,,,George
9104,Phripp Richard,,,,Richard
9113,Pidding John Rhodes,England,,,John
9118,Pierce Richard,,,,Richard
9120,Peirce or Pearce Thomas Burston,,,,
9122,Piercy John Wintersgill,England,,,John
9127,Pigott Charles,,,,Charles
9131,Pigou Peter,St Marylebone London,,,Peter
9156,Pinnell Richard jun,,,,Richard
9157,Pinnell William,,,,William
9159,Pinson John,,,,John
9171,Pitcher Thomas (178 1_),St Paul's Deptford,shipwright,,Thomas
9175,Pitman orPittman Frederick,Bristol,,,orPittman
9184,Pitt Wentworth George,,,,Wentworth
9205,Pocock John,,,,John
9213,Poole Benjamin,,,,Benjamin
9224,Pope William Langley,,,,William
9239,Portlock Nathaniel,,,,Nathaniel
9252,Pouncy Robert,England,,,Robert
9272,Power John,,,,John
9282,Poynter James Methurst,,,,James
9283,Poynting Thomas,,,,Thomas
9293,Prescott Charles Elton,St George's Hanover Sq London,esq,,Charles
9299,Preston Robert,,,,Robert
9314,Price John,,,,John
9316,Price John,,,,John
9317,Price John,,,,John
9323,Price Thomas,Dolevelin Brecon,,,Thomas
9324,Price Thomas,Dolevelin Brecon,,,Thomas
9325,Price Thomas,Dolevelin Brecon,,,Thomas
9329,Prickman Benjamin,,,,Benjamin
9344,Prince John,,,,John
9345,Prince Lawrence,,,,Lawrence
9361,Privett John,,,,John
9362,Probert _?_,,,,_?_
9363,Probyn George,Lea Herefords,rev,m 1 Jun 1826 St Marylebone= London= Alicia dau of Sir Francis Workman MacNaghten= William George b 15 May 1827= Francis Gordon b 6 Feb 1829= Dighton MacNaghten b 21 Jan 1833a11 b & bap St Marylebone= Lesley Charles b 11 Aug 1834,George
9367,Proctor Ambrose Frederick,Ware Herts,,,Ambrose
9374,Proud John,,,,John
9380,Pryce Josiah,,,m Catherine= 10 children inc George b 15 Jan 1798 Leonard bap 5 Oct 1799 Catherine b 8 Apr 1801 William Francklin b 8 Mar 1803 Caroline b 25 Mar 1804,Josiah
9395,Purling John,,,,John
9400,Purvis Charles,,,,Charles
9411,Handle Pye,,,,
9413,Pyke Isaac,,,,Isaac
9415,Pyke John,,,,John
9420,Pynne John,,,,John
9427,Quick Andrew,,,,Andrew
9446,Raincock George,St Mary's Woolchurch Haw,,,George
9448,Raine Thomas,,,,Thomas
9453,Raitt Charles,Dundee,merchant,,Charles
9460,Ramage Patrick,Kirkliston Edinburgh,,m 12 May 1798 Kirkliston= Elizabeth Heeming,Patrick
9469,Ramsay John,,,,John
9476,Ramsden John,St Martin_in_in_the_Fields London,,,John
9490,Rankine Robert,Dundee,esq,,Robert
9504,Rattray James,,,,James
9512,Rawes Richard,,,,Richard
9514,Rawlings Thomas,,,,Thomas
9522,Raymond Charles,,,,Charles
9523,Raymond Hugh,,,,Hugh
9524,Raymond John,,,,John
9525,Rayne Robert,,,,Robert
9548,Reay John,,,,John
9549,Reay Robert,Wexford,,,Robert
9550,Reddall Finch,,,,Finch
9553,Reddall John,,,,John
9555,Reddie John,Dysart Fife,,m Lavinia Salmon= Elizabeth b 20 Feb 1808= Andrew James b 7 Apr 1809= John Griffins b 21 Mar 1811= = Mary b 4 Jul 1812= Lavinia b 20 Jan 1814= Christian Hunt b 16 Jun 1821 1801_2,John
9563,Redman Gabriel Jemmett,,,,Gabriel
9570,Reed Francis,,,,Francis
9580,Rees James,,,,James
9583,Reeves John,,,,John
9590,Reid Hugh Atkins,London,,,Hugh
9602,Remmington Samuel,Horsley Surrey,,,Samuel
9619,Reynolds Benjamin,,,,Benjamin
9628,Reynolds William,Ballyshannon co Donegal,,,William
9633,Rhode Robert,Haverfordwest,,,Robert
9642,Rice David,,,,David
9643,Rice Henry,,,,Henry
9646,Rice John,,,,John
9650,Richards _?_,,,,_?_
9661,Richard William,,,,William
9663,Richardson Benjamin,St Anne's Soho London,capt,,Benjamin
9671,Richardson George,St Anne's Limehouse London,capt,,George
9675,Richardson George,St Anne's Limehouse London,capt,,George
9679,Richardson Isaac Godsalve,,,,Isaac
9699,Riches Matthew,Woodbridge Suffolk,,,Matthew
9717,Riddell Thomas,,,,Thomas
9731,Rigby Charles,,,,Charles
9735,Ripley Philip,St Lawrence Pountney London,,,Philip
9737,Risby Henry,,,,Henry
9749,Roach Edward,,,,Edward
9758,Roberts Arundel,,,,Arundel
9774,Roberts. John,,,,John
9781,Roberts Thomas,Whales,,,Thomas
9783,Roberts William,England,esq,,William
9787,Robertson Alexander,,,,Alexander
9790,Robertson Andrew,Aberdeen,esq,,Andrew
9795,Robertson George,Scotland,,,George
9808,Robertson Thomas,Scotland,,,Thomas
9834,Robinson John,Westleton Suffolk,gent,,John
9839,Robinson Robert,,,,Robert
9858,Robson William,England,rev,,William
9869,Roddam Collingwood,,,,Collingwood
9883,Rogers John,England,,,John
9885,Rogers John,England,,,John
9887,Rogers John,England,,,John
9896,Rogers Samuel,,,,Samuel
9909,Rolland Peter,Kinnaird Kinross,,,Peter
9924,Roper William,St Martin_in_the_Fields London,,,William
9937,Ross Andrew,,,,Andrew
9944,Ross James,Perth,,,James
9954,Rous Benjamin,,,,Benjamin
9955,Rous Robert,,,,Robert
9958,Rouse Thomas Bales,,,,Thomas
9977,Rowles Richard,,,,Richard
10002,Rush Henry,Heckfield Hants,,,Henry
10010,Russell Gervase,,,,Gervase
10045,Ryland Charles,Scotland,,,Charles
10048,Ryves Thomas,,,,Thomas
